timestamp,symbol,open,high,low,close,volume
2021-01-04 15:30:00+00:00,SPY,375.31,375.44,364.82,367.96,5149346.0
2021-01-04 19:30:00+00:00,SPY,367.95,369.5,366.6,368.83,5483172.0
2021-01-05 15:30:00+00:00,SPY,368.1,370.92,368.1,370.4,2378592.0
2021-01-05 19:30:00+00:00,SPY,370.4,372.49,370.38,371.32,2983052.0
2021-01-06 15:30:00+00:00,SPY,369.71,376.97,369.12,376.13,3969119.0
2021-01-06 19:30:00+00:00,SPY,376.15,376.98,372.83,373.53,6604562.0
2021-01-07 15:30:00+00:00,SPY,376.1,379.85,375.92,378.48,3458889.0
2021-01-07 19:30:00+00:00,SPY,378.51,379.9,378.49,379.08,2573674.0
2021-01-08 15:30:00+00:00,SPY,380.59,381.21,377.81,378.68,2363162.0
2021-01-08 19:30:00+00:00,SPY,378.67,381.46,377.11,381.24,4396521.0
2021-01-11 15:30:00+00:00,SPY,377.85,380.57,377.72,379.74,2021220.0
2021-01-11 19:30:00+00:00,SPY,379.73,379.81,378.12,378.74,2403346.0
2021-01-12 15:30:00+00:00,SPY,378.89,379.85,376.38,378.55,2365877.0
2021-01-12 19:30:00+00:00,SPY,378.53,379.45,378.18,378.81,2120812.0
2021-01-13 15:30:00+00:00,SPY,378.69,380.36,377.86,380.21,1694870.0
2021-01-13 19:30:00+00:00,SPY,380.21,380.86,379.62,379.75,2137250.0
2021-01-14 15:30:00+00:00,SPY,380.58,381.13,379.84,380.28,1615787.0
2021-01-14 19:30:00+00:00,SPY,380.3,380.61,378.1,378.45,2401793.0
2021-01-15 15:30:00+00:00,SPY,376.72,377.58,373.73,376.96,3849216.0
2021-01-15 19:30:00+00:00,SPY,376.94,377.22,375.41,375.7,2758950.0
2021-01-19 15:30:00+00:00,SPY,378.34,379.02,376.75,378.73,1713243.0
2021-01-19 19:30:00+00:00,SPY,378.72,379.23,378.53,378.64,1720410.0
2021-01-20 15:30:00+00:00,SPY,381.11,384.18,380.72,383.98,2349071.0
2021-01-20 19:30:00+00:00,SPY,383.99,384.79,383.41,383.85,1825536.0
2021-01-21 15:30:00+00:00,SPY,384.47,384.95,383.25,384.11,1604155.0
2021-01-21 19:30:00+00:00,SPY,384.12,384.93,384.04,384.2,1393931.0
2021-01-22 15:30:00+00:00,SPY,382.25,383.83,381.85,383.43,1799874.0
2021-01-22 19:30:00+00:00,SPY,383.43,384.07,382.8,382.85,1548830.0
2021-01-25 15:30:00+00:00,SPY,383.67,384.765,378.48,383.65,4559013.0
2021-01-25 19:30:00+00:00,SPY,383.68,384.49,382.44,384.39,2008900.0
2021-01-26 15:30:00+00:00,SPY,385.41,385.84,383.58,384.41,1970972.0
2021-01-26 19:30:00+00:00,SPY,384.41,384.96,383.54,383.79,1521478.0
2021-01-27 15:30:00+00:00,SPY,380.2,380.29,375.64,378.49,5456175.0
2021-01-27 19:30:00+00:00,SPY,378.47,378.57,372.01,374.45,6496871.0
2021-01-28 15:30:00+00:00,SPY,376.36,381.85,375.89,381.21,4601323.0
2021-01-28 19:30:00+00:00,SPY,381.31,381.93,377.26,377.63,3200778.0
2021-01-29 15:30:00+00:00,SPY,375.63,376.67,368.29,370.86,6005424.0
2021-01-29 19:30:00+00:00,SPY,370.86,373.18,369.55,370.13,5860819.0
2021-02-01 15:30:00+00:00,SPY,373.72,376.56,371.42,376.37,3106053.0
2021-02-01 19:30:00+00:00,SPY,376.38,377.34,375.83,376.19,2649154.0
2021-02-02 15:30:00+00:00,SPY,379.6,383.22,379.6,382.42,2908047.0
2021-02-02 19:30:00+00:00,SPY,382.46,383.14,381.38,381.54,2625753.0
2021-02-03 15:30:00+00:00,SPY,382.44,383.08,380.49,382.92,2648768.0
2021-02-03 19:30:00+00:00,SPY,382.9,383.69,381.85,381.86,2140969.0
2021-02-04 15:30:00+00:00,SPY,382.96,385.23,382.78,385.14,2130985.0
2021-02-04 19:30:00+00:00,SPY,385.13,386.24,384.97,386.18,1751743.0
